Title,Note,URL,Comment,Latitude ,Longitude
IIT Tower,School Id Required.,https://www.google.com/maps/place/IIT+Tower/data=!4m2!3m1!1s0x880e2c0de7e45d2d:0xf5899a24d84fe7f9,,41.831299,-87.627274
Paul V. Galvin Library,School Id required.,https://www.google.com/maps/place/Paul+V.+Galvin+Library/data=!4m2!3m1!1s0x880e2c0d697f3327:0xd02a6e76ebf8681b,,41.833672,-87.628326
DePaul University - Loop Campus,School Id Required.,https://www.google.com/maps/place/DePaul+University+-+Loop+Campus/data=!4m2!3m1!1s0x880e2ca2e0751abf:0x963b6892ffb300ff,,41.877529,-87.627228
Costco Wholesale,No Code required.,https://www.google.com/maps/place/Costco+Wholesale/data=!4m2!3m1!1s0x880fd2f34773938d:0xbeb052cbbbd4fcc9,,41.931091,-87.677544
Portillo's & Barnelli's Chicago,No code required.,https://www.google.com/maps/place/Portillo's+%26+Barnelli's+Chicago/data=!4m2!3m1!1s0x880e2cb30f84f07f:0x5094004e07cb63ef,,41.893459,-87.6315
Lure Fishbar - Chicago,No code required.,https://www.google.com/maps/place/Lure+Fishbar+-+Chicago/data=!4m2!3m1!1s0x880e2cacfc15c713:0x2363178d2ad4ce8a,,41.89297,-87.62556
Punch Bowl Social,"No code required, open to all",https://www.google.com/maps/place/Punch+Bowl+Social/data=!4m2!3m1!1s0x880e2cd03d0e28d5:0x763a045a33a53248,,41.88723,-87.649101
Au Cheval,No Code required.,https://www.google.com/maps/place/Au+Cheval/data=!4m2!3m1!1s0x880e2cc54672c3ef:0xceb6eb8362b20ae8,,41.88464,-87.647682
Jewel-Osco,"No code required, open to al",https://www.google.com/maps/place/Jewel-Osco/data=!4m2!3m1!1s0x880e2cf2eb8b8023:0x3768aee0c532cc4e,,41.864361,-87.639862
Gold Star Families Memorial,No Code Required,https://www.google.com/maps/place/Gold+Star+Families+Memorial/data=!4m2!3m1!1s0x880e2b7c7a59aae1:0x7bfbd4427c19e28,,41.88593,-87.61576
Starbucks,Code: 02711,https://www.google.com/maps/place/Starbucks/data=!4m2!3m1!1s0x880fcf6bf68a6f95:0x4ca25871579ed128,,42.04049,-87.75191
Starbucks,code 24689,https://www.google.com/maps/place/Starbucks/data=!4m2!3m1!1s0x880e2cb00f6daa95:0x8f0683df1d8de70d,,41.88603,-87.62886
Pilsen Community Books,tidy and clean,https://www.google.com/maps/place/Pilsen+Community+Books/data=!4m2!3m1!1s0x880e2cff28d6f847:0xc2cd08b3b385528b,,41.85812,-87.65355
Colectivo Coffee Evanston,follow right wall of windows and turn left sometimes busty,https://www.google.com/maps/place/Colectivo+Coffee+Evanston/data=!4m2!3m1!1s0x880fd117f7dece2f:0xa30ea0d82911c95f,,42.04831,-87.68157
Evanston Pour,bathrooms are open in back left of the shop,https://www.google.com/maps/place/Evanston+Pour/data=!4m2!3m1!1s0x880fd19602fef7b5:0x45633a266a6666c0,,42.04103,-87.68033
Jewel-Osco,bathrooms are at the back near pharmacy,https://www.google.com/maps/place/Jewel-Osco/data=!4m2!3m1!1s0x880e2ccc0dfa3bb9:0x81c447180a3723e2,,41.888687,-87.645103
Dollop Coffee & The Hoosier Mama Pie Company,Far back left private bathrooms but a little run down,https://www.google.com/maps/place/Dollop+Coffee+%26+The+Hoosier+Mama+Pie+Company/data=!4m2!3m1!1s0x880e34b5ce9a4c7f:0xa7c58f22541572c9,,42.03214,-87.67898
"Taichi Bubble Tea, Ramen and Poke Bowl - Rogers Park","Bathroom with baby changing table, handicap stalls, but only for customers, ask for key","https://www.google.com/maps/place/Taichi+Bubble+Tea,+Ramen+and+Poke+Bowl+-+Rogers+Park/data=!4m2!3m1!1s0x880fd15adb53e8e5:0x9e97a17e08fcc60",,42.00579,-87.66146
ALDI,Open bathrooms past the check out,https://www.google.com/maps/place/ALDI/data=!4m2!3m1!1s0x880fd19f80edaca7:0x47a309cfbe9c89f4,,41.995049,-87.660362
Target,3272 as of 2/24/24,https://www.google.com/maps/place/Target/data=!4m2!3m1!1s0x880fd1c355b39405:0xc865d8288e85a657,,41.99912,-87.66075
Eli Tea Bar,Gender Neutral bathrooms,https://www.google.com/maps/place/Eli+Tea+Bar/data=!4m2!3m1!1s0x880fd190e1622fc5:0x29c292506a39ac00,,41.98189,-87.66811
Target,"No code , Clean enough, just past the checkout",https://www.google.com/maps/place/Target/data=!4m2!3m1!1s0x880fd3cd0fcfe9d5:0xf1a8f24d09708059,,41.9632,-87.65646
3 Arts Club Cafe at RH Chicago,Basement Level,https://www.google.com/maps/place/3+Arts+Club+Cafe+at+RH+Chicago/data=!4m2!3m1!1s0x880fd3456e9bdf23:0xb8ce756852e86f5d,,41.90589,-87.63016
Starbucks,"Code 1658, Past the ordering area",https://www.google.com/maps/place/Starbucks/data=!4m2!3m1!1s0x880fd34b20a35f05:0xdd2edd6d1a1eb43a,,41.8964,-87.635857
Target,"Back corner past the pharmacy, there are signs. No code, changing table, coin operated menstrual products, water fountain with bottle filling station. Goth Target is a blessing to this city.",https://www.google.com/maps/place/Target/data=!4m2!3m1!1s0x880e2ca4967a25fd:0x7ad7c727b728c4e8,,41.881908,-87.62748
